========
Segment 0, number of frames = 41853, viterbi-score = 212271.426068
Printing random variables from (P,C,E)=(1,41852,0) sections
Ptn-0 P: G(0)=1,P1(0)=6,P2(0)=14,Z(0)=0
Ptn-9527 C: G(9527)=2,P1(9527)=6,P2(9527)=14,Z(9527)=0
Ptn-9528 C: G(9528)=2,P1(9528)=6,P2(9528)=14,Z(9528)=0
Ptn-9529 C: G(9529)=2,P1(9529)=6,P2(9529)=14,Z(9529)=0
Ptn-9530 C: G(9530)=2,P1(9530)=6,P2(9530)=14,Z(9530)=0
Ptn-9531 C: G(9531)=2,P1(9531)=6,P2(9531)=14,Z(9531)=0
Ptn-9532 C: G(9532)=2,P1(9532)=6,P2(9532)=14,Z(9532)=0
Ptn-9533 C: G(9533)=2,P1(9533)=6,P2(9533)=14,Z(9533)=0
Ptn-9534 C: G(9534)=2,P1(9534)=6,P2(9534)=14,Z(9534)=0
Ptn-9535 C: G(9535)=2,P1(9535)=6,P2(9535)=14,Z(9535)=0
Ptn-9536 C: G(9536)=2,P1(9536)=6,P2(9536)=14,Z(9536)=0
Ptn-9537 C: G(9537)=2,P1(9537)=6,P2(9537)=14,Z(9537)=0
Ptn-9538 C: G(9538)=2,P1(9538)=6,P2(9538)=14,Z(9538)=0
Ptn-9539 C: G(9539)=2,P1(9539)=6,P2(9539)=14,Z(9539)=0
Ptn-9540 C: G(9540)=2,P1(9540)=6,P2(9540)=14,Z(9540)=0
Ptn-9541 C: G(9541)=2,P1(9541)=6,P2(9541)=14,Z(9541)=0
Ptn-9542 C: G(9542)=2,P1(9542)=6,P2(9542)=14,Z(9542)=0
Ptn-9543 C: G(9543)=2,P1(9543)=6,P2(9543)=14,Z(9543)=0
Ptn-9544 C: G(9544)=2,P1(9544)=6,P2(9544)=14,Z(9544)=0
Ptn-9545 C: G(9545)=2,P1(9545)=6,P2(9545)=14,Z(9545)=0
Ptn-9546 C: G(9546)=2,P1(9546)=6,P2(9546)=14,Z(9546)=0
Ptn-9547 C: G(9547)=2,P1(9547)=6,P2(9547)=14,Z(9547)=0
Ptn-9548 C: G(9548)=2,P1(9548)=6,P2(9548)=14,Z(9548)=0
Ptn-9549 C: G(9549)=2,P1(9549)=6,P2(9549)=14,Z(9549)=0
Ptn-9550 C: G(9550)=2,P1(9550)=6,P2(9550)=14,Z(9550)=0
Ptn-9551 C: G(9551)=2,P1(9551)=6,P2(9551)=14,Z(9551)=0
Ptn-9552 C: G(9552)=2,P1(9552)=6,P2(9552)=14,Z(9552)=0
Ptn-9553 C: G(9553)=2,P1(9553)=6,P2(9553)=14,Z(9553)=0
Ptn-9554 C: G(9554)=2,P1(9554)=6,P2(9554)=14,Z(9554)=0
Ptn-9555 C: G(9555)=2,P1(9555)=6,P2(9555)=14,Z(9555)=0
Ptn-9556 C: G(9556)=2,P1(9556)=6,P2(9556)=14,Z(9556)=0
Ptn-9557 C: G(9557)=2,P1(9557)=6,P2(9557)=14,Z(9557)=0
Ptn-9558 C: G(9558)=2,P1(9558)=6,P2(9558)=14,Z(9558)=0
Ptn-9559 C: G(9559)=2,P1(9559)=6,P2(9559)=14,Z(9559)=0
Ptn-9560 C: G(9560)=2,P1(9560)=6,P2(9560)=14,Z(9560)=0
Ptn-9561 C: G(9561)=2,P1(9561)=6,P2(9561)=14,Z(9561)=0
Ptn-9562 C: G(9562)=2,P1(9562)=6,P2(9562)=14,Z(9562)=0
Ptn-9563 C: G(9563)=2,P1(9563)=6,P2(9563)=14,Z(9563)=0
Ptn-9564 C: G(9564)=2,P1(9564)=6,P2(9564)=14,Z(9564)=0
Ptn-9565 C: G(9565)=2,P1(9565)=6,P2(9565)=14,Z(9565)=0
Ptn-9566 C: G(9566)=2,P1(9566)=6,P2(9566)=14,Z(9566)=0
Ptn-9567 C: G(9567)=2,P1(9567)=6,P2(9567)=14,Z(9567)=0
Ptn-9568 C: G(9568)=2,P1(9568)=6,P2(9568)=14,Z(9568)=0
Ptn-9569 C: G(9569)=2,P1(9569)=6,P2(9569)=14,Z(9569)=0
Ptn-9570 C: G(9570)=2,P1(9570)=6,P2(9570)=14,Z(9570)=0
Ptn-9571 C: G(9571)=2,P1(9571)=6,P2(9571)=14,Z(9571)=0
Ptn-9572 C: G(9572)=2,P1(9572)=6,P2(9572)=14,Z(9572)=0
Ptn-9573 C: G(9573)=2,P1(9573)=6,P2(9573)=14,Z(9573)=0
Ptn-9574 C: G(9574)=2,P1(9574)=6,P2(9574)=14,Z(9574)=0
Ptn-9575 C: G(9575)=2,P1(9575)=6,P2(9575)=14,Z(9575)=0
Ptn-9576 C: G(9576)=2,P1(9576)=6,P2(9576)=14,Z(9576)=0
Ptn-9577 C: G(9577)=2,P1(9577)=6,P2(9577)=14,Z(9577)=0
Ptn-9578 C: G(9578)=2,P1(9578)=6,P2(9578)=14,Z(9578)=0
Ptn-9579 C: G(9579)=2,P1(9579)=6,P2(9579)=14,Z(9579)=0
Ptn-9580 C: G(9580)=2,P1(9580)=6,P2(9580)=14,Z(9580)=0
Ptn-9581 C: G(9581)=2,P1(9581)=6,P2(9581)=14,Z(9581)=0
Ptn-9582 C: G(9582)=2,P1(9582)=6,P2(9582)=14,Z(9582)=0
Ptn-9583 C: G(9583)=2,P1(9583)=6,P2(9583)=14,Z(9583)=0
Ptn-9584 C: G(9584)=2,P1(9584)=6,P2(9584)=14,Z(9584)=0
Ptn-9585 C: G(9585)=2,P1(9585)=6,P2(9585)=14,Z(9585)=0
Ptn-9586 C: G(9586)=2,P1(9586)=6,P2(9586)=14,Z(9586)=0
Ptn-9587 C: G(9587)=2,P1(9587)=6,P2(9587)=14,Z(9587)=0
Ptn-9588 C: G(9588)=2,P1(9588)=6,P2(9588)=14,Z(9588)=0
Ptn-9589 C: G(9589)=2,P1(9589)=6,P2(9589)=14,Z(9589)=0
Ptn-9590 C: G(9590)=2,P1(9590)=6,P2(9590)=14,Z(9590)=0
Ptn-9591 C: G(9591)=2,P1(9591)=6,P2(9591)=14,Z(9591)=0
Ptn-9592 C: G(9592)=2,P1(9592)=6,P2(9592)=14,Z(9592)=0
Ptn-9593 C: G(9593)=2,P1(9593)=6,P2(9593)=14,Z(9593)=0
Ptn-9594 C: G(9594)=2,P1(9594)=6,P2(9594)=14,Z(9594)=0
Ptn-9595 C: G(9595)=2,P1(9595)=6,P2(9595)=14,Z(9595)=0
Ptn-9596 C: G(9596)=2,P1(9596)=6,P2(9596)=14,Z(9596)=0
Ptn-9597 C: G(9597)=2,P1(9597)=6,P2(9597)=14,Z(9597)=0
Ptn-9598 C: G(9598)=2,P1(9598)=6,P2(9598)=14,Z(9598)=0
Ptn-9599 C: G(9599)=2,P1(9599)=6,P2(9599)=14,Z(9599)=0
Ptn-9600 C: G(9600)=2,P1(9600)=6,P2(9600)=14,Z(9600)=0
Ptn-9601 C: G(9601)=2,P1(9601)=6,P2(9601)=14,Z(9601)=0
Ptn-9602 C: G(9602)=2,P1(9602)=6,P2(9602)=14,Z(9602)=0
Ptn-9603 C: G(9603)=2,P1(9603)=6,P2(9603)=14,Z(9603)=0
Ptn-9604 C: G(9604)=2,P1(9604)=6,P2(9604)=14,Z(9604)=0
Ptn-9605 C: G(9605)=2,P1(9605)=6,P2(9605)=14,Z(9605)=0
Ptn-9606 C: G(9606)=2,P1(9606)=6,P2(9606)=14,Z(9606)=0
Ptn-9607 C: G(9607)=2,P1(9607)=6,P2(9607)=14,Z(9607)=0
Ptn-9608 C: G(9608)=2,P1(9608)=6,P2(9608)=14,Z(9608)=0
Ptn-9609 C: G(9609)=2,P1(9609)=6,P2(9609)=14,Z(9609)=0
Ptn-9610 C: G(9610)=2,P1(9610)=6,P2(9610)=14,Z(9610)=0
Ptn-9611 C: G(9611)=2,P1(9611)=6,P2(9611)=14,Z(9611)=0
Ptn-9612 C: G(9612)=2,P1(9612)=6,P2(9612)=14,Z(9612)=0
Ptn-9613 C: G(9613)=2,P1(9613)=6,P2(9613)=14,Z(9613)=0
Ptn-9614 C: G(9614)=2,P1(9614)=6,P2(9614)=14,Z(9614)=0
Ptn-9615 C: G(9615)=2,P1(9615)=6,P2(9615)=14,Z(9615)=0
Ptn-9616 C: G(9616)=2,P1(9616)=6,P2(9616)=14,Z(9616)=0
Ptn-9617 C: G(9617)=2,P1(9617)=6,P2(9617)=14,Z(9617)=0
Ptn-9618 C: G(9618)=2,P1(9618)=6,P2(9618)=14,Z(9618)=0
Ptn-9619 C: G(9619)=2,P1(9619)=6,P2(9619)=14,Z(9619)=0
Ptn-9620 C: G(9620)=2,P1(9620)=6,P2(9620)=14,Z(9620)=0
Ptn-9621 C: G(9621)=2,P1(9621)=6,P2(9621)=14,Z(9621)=0
Ptn-9622 C: G(9622)=2,P1(9622)=6,P2(9622)=14,Z(9622)=0
Ptn-9623 C: G(9623)=2,P1(9623)=6,P2(9623)=14,Z(9623)=0
Ptn-9624 C: G(9624)=2,P1(9624)=6,P2(9624)=14,Z(9624)=0
Ptn-9625 C: G(9625)=2,P1(9625)=6,P2(9625)=14,Z(9625)=0
Ptn-9626 C: G(9626)=2,P1(9626)=6,P2(9626)=14,Z(9626)=0
Ptn-9627 C: G(9627)=2,P1(9627)=6,P2(9627)=14,Z(9627)=0
Ptn-9628 C: G(9628)=2,P1(9628)=6,P2(9628)=14,Z(9628)=0
Ptn-9629 C: G(9629)=2,P1(9629)=6,P2(9629)=14,Z(9629)=0
Ptn-9630 C: G(9630)=2,P1(9630)=6,P2(9630)=14,Z(9630)=0
Ptn-9631 C: G(9631)=2,P1(9631)=6,P2(9631)=14,Z(9631)=0
Ptn-9632 C: G(9632)=2,P1(9632)=6,P2(9632)=14,Z(9632)=0
Ptn-9633 C: G(9633)=2,P1(9633)=6,P2(9633)=14,Z(9633)=0
Ptn-9634 C: G(9634)=2,P1(9634)=6,P2(9634)=14,Z(9634)=0
Ptn-9635 C: G(9635)=2,P1(9635)=6,P2(9635)=14,Z(9635)=0
Ptn-9636 C: G(9636)=2,P1(9636)=6,P2(9636)=14,Z(9636)=0
Ptn-9637 C: G(9637)=2,P1(9637)=6,P2(9637)=14,Z(9637)=0
Ptn-9638 C: G(9638)=2,P1(9638)=6,P2(9638)=14,Z(9638)=0
Ptn-9639 C: G(9639)=2,P1(9639)=6,P2(9639)=14,Z(9639)=0
Ptn-9640 C: G(9640)=2,P1(9640)=6,P2(9640)=14,Z(9640)=0
Ptn-9641 C: G(9641)=2,P1(9641)=6,P2(9641)=14,Z(9641)=0
Ptn-9642 C: G(9642)=2,P1(9642)=6,P2(9642)=14,Z(9642)=0
Ptn-9643 C: G(9643)=2,P1(9643)=6,P2(9643)=14,Z(9643)=0
Ptn-9644 C: G(9644)=2,P1(9644)=6,P2(9644)=14,Z(9644)=0
Ptn-9645 C: G(9645)=2,P1(9645)=6,P2(9645)=14,Z(9645)=0
Ptn-9646 C: G(9646)=2,P1(9646)=6,P2(9646)=14,Z(9646)=0
Ptn-9647 C: G(9647)=2,P1(9647)=6,P2(9647)=14,Z(9647)=0
Ptn-9648 C: G(9648)=2,P1(9648)=6,P2(9648)=14,Z(9648)=0
Ptn-9649 C: G(9649)=2,P1(9649)=6,P2(9649)=14,Z(9649)=0
Ptn-9650 C: G(9650)=2,P1(9650)=6,P2(9650)=14,Z(9650)=0
Ptn-9651 C: G(9651)=2,P1(9651)=6,P2(9651)=14,Z(9651)=0
Ptn-9652 C: G(9652)=2,P1(9652)=6,P2(9652)=14,Z(9652)=0
Ptn-9653 C: G(9653)=2,P1(9653)=6,P2(9653)=14,Z(9653)=0
Ptn-9654 C: G(9654)=2,P1(9654)=6,P2(9654)=14,Z(9654)=0
Ptn-9655 C: G(9655)=2,P1(9655)=6,P2(9655)=14,Z(9655)=0
Ptn-9656 C: G(9656)=2,P1(9656)=6,P2(9656)=14,Z(9656)=0
Ptn-9657 C: G(9657)=2,P1(9657)=6,P2(9657)=14,Z(9657)=0
Ptn-9658 C: G(9658)=2,P1(9658)=6,P2(9658)=14,Z(9658)=0
Ptn-9659 C: G(9659)=2,P1(9659)=6,P2(9659)=14,Z(9659)=0
Ptn-9660 C: G(9660)=2,P1(9660)=6,P2(9660)=14,Z(9660)=0
Ptn-9661 C: G(9661)=2,P1(9661)=6,P2(9661)=14,Z(9661)=0
Ptn-9662 C: G(9662)=2,P1(9662)=6,P2(9662)=14,Z(9662)=0
Ptn-9663 C: G(9663)=2,P1(9663)=6,P2(9663)=14,Z(9663)=0
Ptn-9664 C: G(9664)=2,P1(9664)=6,P2(9664)=14,Z(9664)=0
Ptn-9665 C: G(9665)=2,P1(9665)=6,P2(9665)=14,Z(9665)=0
Ptn-9666 C: G(9666)=2,P1(9666)=6,P2(9666)=14,Z(9666)=0
Ptn-9667 C: G(9667)=2,P1(9667)=6,P2(9667)=14,Z(9667)=0
Ptn-9668 C: G(9668)=2,P1(9668)=6,P2(9668)=14,Z(9668)=0
Ptn-9669 C: G(9669)=2,P1(9669)=6,P2(9669)=14,Z(9669)=0
Ptn-9670 C: G(9670)=2,P1(9670)=6,P2(9670)=14,Z(9670)=0
Ptn-9671 C: G(9671)=2,P1(9671)=6,P2(9671)=14,Z(9671)=0
Ptn-9672 C: G(9672)=2,P1(9672)=6,P2(9672)=14,Z(9672)=0
Ptn-9673 C: G(9673)=2,P1(9673)=6,P2(9673)=14,Z(9673)=0
Ptn-9674 C: G(9674)=2,P1(9674)=6,P2(9674)=14,Z(9674)=0
Ptn-9675 C: G(9675)=2,P1(9675)=6,P2(9675)=14,Z(9675)=0
Ptn-9676 C: G(9676)=2,P1(9676)=6,P2(9676)=14,Z(9676)=0
Ptn-9677 C: G(9677)=2,P1(9677)=6,P2(9677)=14,Z(9677)=0
Ptn-9678 C: G(9678)=2,P1(9678)=6,P2(9678)=14,Z(9678)=0
Ptn-9679 C: G(9679)=2,P1(9679)=6,P2(9679)=14,Z(9679)=0
Ptn-9680 C: G(9680)=2,P1(9680)=6,P2(9680)=14,Z(9680)=0
Ptn-9681 C: G(9681)=2,P1(9681)=6,P2(9681)=14,Z(9681)=0
Ptn-9682 C: G(9682)=2,P1(9682)=6,P2(9682)=14,Z(9682)=0
Ptn-9683 C: G(9683)=2,P1(9683)=6,P2(9683)=14,Z(9683)=0
Ptn-9684 C: G(9684)=2,P1(9684)=6,P2(9684)=14,Z(9684)=0
Ptn-9685 C: G(9685)=2,P1(9685)=6,P2(9685)=14,Z(9685)=0
Ptn-9686 C: G(9686)=2,P1(9686)=6,P2(9686)=14,Z(9686)=0
Ptn-9687 C: G(9687)=2,P1(9687)=6,P2(9687)=14,Z(9687)=0
Ptn-9688 C: G(9688)=2,P1(9688)=6,P2(9688)=14,Z(9688)=0
Ptn-9689 C: G(9689)=2,P1(9689)=6,P2(9689)=14,Z(9689)=0
Ptn-9690 C: G(9690)=2,P1(9690)=6,P2(9690)=14,Z(9690)=0
Ptn-9691 C: G(9691)=2,P1(9691)=6,P2(9691)=14,Z(9691)=0
Ptn-9692 C: G(9692)=2,P1(9692)=6,P2(9692)=14,Z(9692)=0
Ptn-9693 C: G(9693)=2,P1(9693)=6,P2(9693)=14,Z(9693)=0
Ptn-9694 C: G(9694)=2,P1(9694)=6,P2(9694)=14,Z(9694)=0
Ptn-9695 C: G(9695)=2,P1(9695)=6,P2(9695)=14,Z(9695)=0
Ptn-9696 C: G(9696)=2,P1(9696)=6,P2(9696)=14,Z(9696)=0
Ptn-9697 C: G(9697)=2,P1(9697)=6,P2(9697)=14,Z(9697)=0
Ptn-9698 C: G(9698)=2,P1(9698)=6,P2(9698)=14,Z(9698)=0
Ptn-9699 C: G(9699)=2,P1(9699)=6,P2(9699)=14,Z(9699)=0
Ptn-9700 C: G(9700)=2,P1(9700)=6,P2(9700)=14,Z(9700)=0
Ptn-9701 C: G(9701)=2,P1(9701)=6,P2(9701)=14,Z(9701)=0
Ptn-9702 C: G(9702)=2,P1(9702)=6,P2(9702)=14,Z(9702)=0
Ptn-9703 C: G(9703)=2,P1(9703)=6,P2(9703)=14,Z(9703)=0
Ptn-9704 C: G(9704)=2,P1(9704)=6,P2(9704)=14,Z(9704)=0
Ptn-9705 C: G(9705)=2,P1(9705)=6,P2(9705)=14,Z(9705)=0
Ptn-9706 C: G(9706)=2,P1(9706)=6,P2(9706)=14,Z(9706)=0
Ptn-9707 C: G(9707)=2,P1(9707)=6,P2(9707)=14,Z(9707)=0
Ptn-9708 C: G(9708)=2,P1(9708)=6,P2(9708)=14,Z(9708)=0
Ptn-9709 C: G(9709)=2,P1(9709)=6,P2(9709)=14,Z(9709)=0
Ptn-9710 C: G(9710)=2,P1(9710)=6,P2(9710)=14,Z(9710)=0
Ptn-9711 C: G(9711)=2,P1(9711)=6,P2(9711)=14,Z(9711)=0
Ptn-9712 C: G(9712)=2,P1(9712)=6,P2(9712)=14,Z(9712)=0
Ptn-9713 C: G(9713)=2,P1(9713)=6,P2(9713)=14,Z(9713)=0
Ptn-9714 C: G(9714)=2,P1(9714)=6,P2(9714)=14,Z(9714)=0
Ptn-9715 C: G(9715)=2,P1(9715)=6,P2(9715)=14,Z(9715)=0
Ptn-9716 C: G(9716)=2,P1(9716)=6,P2(9716)=14,Z(9716)=0
Ptn-9717 C: G(9717)=2,P1(9717)=6,P2(9717)=14,Z(9717)=0
Ptn-9718 C: G(9718)=2,P1(9718)=6,P2(9718)=14,Z(9718)=0
Ptn-9719 C: G(9719)=2,P1(9719)=6,P2(9719)=14,Z(9719)=0
Ptn-9720 C: G(9720)=2,P1(9720)=6,P2(9720)=14,Z(9720)=0
Ptn-9721 C: G(9721)=2,P1(9721)=6,P2(9721)=14,Z(9721)=0
Ptn-9722 C: G(9722)=2,P1(9722)=6,P2(9722)=14,Z(9722)=0
Ptn-9723 C: G(9723)=2,P1(9723)=6,P2(9723)=14,Z(9723)=0
Ptn-9724 C: G(9724)=2,P1(9724)=6,P2(9724)=14,Z(9724)=0
Ptn-9725 C: G(9725)=2,P1(9725)=6,P2(9725)=14,Z(9725)=0
Ptn-9726 C: G(9726)=2,P1(9726)=6,P2(9726)=14,Z(9726)=0
Ptn-9727 C: G(9727)=2,P1(9727)=6,P2(9727)=14,Z(9727)=0
Ptn-9728 C: G(9728)=2,P1(9728)=6,P2(9728)=14,Z(9728)=0
Ptn-9729 C: G(9729)=2,P1(9729)=6,P2(9729)=14,Z(9729)=0
Ptn-9730 C: G(9730)=2,P1(9730)=6,P2(9730)=14,Z(9730)=0
Ptn-9731 C: G(9731)=2,P1(9731)=6,P2(9731)=14,Z(9731)=0
Ptn-9732 C: G(9732)=2,P1(9732)=6,P2(9732)=14,Z(9732)=0
Ptn-9733 C: G(9733)=2,P1(9733)=6,P2(9733)=14,Z(9733)=0
Ptn-9734 C: G(9734)=2,P1(9734)=6,P2(9734)=14,Z(9734)=0
Ptn-9735 C: G(9735)=2,P1(9735)=6,P2(9735)=14,Z(9735)=0
Ptn-9736 C: G(9736)=2,P1(9736)=6,P2(9736)=14,Z(9736)=0
Ptn-9737 C: G(9737)=2,P1(9737)=6,P2(9737)=14,Z(9737)=0
Ptn-9738 C: G(9738)=2,P1(9738)=6,P2(9738)=14,Z(9738)=0
Ptn-9739 C: G(9739)=2,P1(9739)=6,P2(9739)=14,Z(9739)=0
Ptn-9740 C: G(9740)=4,P1(9740)=6,P2(9740)=14,Z(9740)=0
Ptn-9741 C: G(9741)=4,P1(9741)=6,P2(9741)=14,Z(9741)=0
Ptn-9742 C: G(9742)=4,P1(9742)=6,P2(9742)=14,Z(9742)=0
Ptn-9743 C: G(9743)=4,P1(9743)=6,P2(9743)=14,Z(9743)=0
Ptn-9744 C: G(9744)=4,P1(9744)=6,P2(9744)=14,Z(9744)=0
Ptn-9745 C: G(9745)=4,P1(9745)=6,P2(9745)=14,Z(9745)=0
Ptn-9746 C: G(9746)=4,P1(9746)=6,P2(9746)=14,Z(9746)=0
Ptn-9747 C: G(9747)=4,P1(9747)=6,P2(9747)=14,Z(9747)=0
Ptn-9748 C: G(9748)=4,P1(9748)=6,P2(9748)=14,Z(9748)=0
Ptn-9749 C: G(9749)=4,P1(9749)=6,P2(9749)=14,Z(9749)=0
Ptn-9750 C: G(9750)=4,P1(9750)=6,P2(9750)=14,Z(9750)=0
Ptn-9751 C: G(9751)=4,P1(9751)=6,P2(9751)=14,Z(9751)=0
Ptn-9752 C: G(9752)=4,P1(9752)=6,P2(9752)=14,Z(9752)=0
Ptn-9753 C: G(9753)=2,P1(9753)=6,P2(9753)=14,Z(9753)=0
Ptn-9754 C: G(9754)=2,P1(9754)=6,P2(9754)=14,Z(9754)=0
Ptn-9755 C: G(9755)=2,P1(9755)=6,P2(9755)=14,Z(9755)=0
Ptn-9756 C: G(9756)=2,P1(9756)=6,P2(9756)=14,Z(9756)=0
Ptn-9757 C: G(9757)=2,P1(9757)=6,P2(9757)=14,Z(9757)=0
Ptn-9758 C: G(9758)=2,P1(9758)=6,P2(9758)=14,Z(9758)=0
Ptn-9759 C: G(9759)=2,P1(9759)=6,P2(9759)=14,Z(9759)=0
Ptn-9760 C: G(9760)=2,P1(9760)=6,P2(9760)=14,Z(9760)=0
Ptn-9761 C: G(9761)=2,P1(9761)=6,P2(9761)=14,Z(9761)=0
Ptn-9762 C: G(9762)=2,P1(9762)=6,P2(9762)=14,Z(9762)=0
Ptn-9763 C: G(9763)=2,P1(9763)=6,P2(9763)=14,Z(9763)=0
Ptn-9764 C: G(9764)=2,P1(9764)=6,P2(9764)=14,Z(9764)=0
Ptn-9765 C: G(9765)=2,P1(9765)=6,P2(9765)=14,Z(9765)=0
Ptn-9766 C: G(9766)=2,P1(9766)=6,P2(9766)=14,Z(9766)=0
Ptn-9767 C: G(9767)=2,P1(9767)=6,P2(9767)=14,Z(9767)=0
Ptn-9768 C: G(9768)=2,P1(9768)=6,P2(9768)=14,Z(9768)=0
Ptn-9769 C: G(9769)=2,P1(9769)=6,P2(9769)=14,Z(9769)=0
Ptn-9770 C: G(9770)=2,P1(9770)=6,P2(9770)=14,Z(9770)=0
Ptn-9771 C: G(9771)=2,P1(9771)=6,P2(9771)=14,Z(9771)=0
Ptn-9772 C: G(9772)=2,P1(9772)=6,P2(9772)=14,Z(9772)=0
Ptn-9773 C: G(9773)=2,P1(9773)=6,P2(9773)=14,Z(9773)=0
Ptn-9774 C: G(9774)=2,P1(9774)=6,P2(9774)=14,Z(9774)=0
Ptn-9775 C: G(9775)=2,P1(9775)=6,P2(9775)=14,Z(9775)=0
Ptn-9776 C: G(9776)=2,P1(9776)=6,P2(9776)=14,Z(9776)=0
Ptn-9777 C: G(9777)=2,P1(9777)=6,P2(9777)=14,Z(9777)=0
Ptn-9778 C: G(9778)=2,P1(9778)=6,P2(9778)=14,Z(9778)=0
Ptn-9779 C: G(9779)=2,P1(9779)=6,P2(9779)=14,Z(9779)=0
Ptn-9780 C: G(9780)=2,P1(9780)=6,P2(9780)=14,Z(9780)=0
Ptn-9781 C: G(9781)=2,P1(9781)=6,P2(9781)=14,Z(9781)=0
Ptn-9782 C: G(9782)=2,P1(9782)=6,P2(9782)=14,Z(9782)=0
Ptn-9783 C: G(9783)=2,P1(9783)=6,P2(9783)=14,Z(9783)=0
Ptn-9784 C: G(9784)=2,P1(9784)=6,P2(9784)=14,Z(9784)=0
Ptn-9785 C: G(9785)=2,P1(9785)=6,P2(9785)=14,Z(9785)=0
Ptn-9786 C: G(9786)=2,P1(9786)=6,P2(9786)=14,Z(9786)=0
Ptn-9787 C: G(9787)=3,P1(9787)=6,P2(9787)=14,Z(9787)=0
Ptn-9788 C: G(9788)=3,P1(9788)=6,P2(9788)=14,Z(9788)=0
Ptn-9789 C: G(9789)=3,P1(9789)=6,P2(9789)=14,Z(9789)=0
Ptn-9790 C: G(9790)=3,P1(9790)=6,P2(9790)=14,Z(9790)=0
Ptn-9791 C: G(9791)=3,P1(9791)=6,P2(9791)=14,Z(9791)=0
Ptn-9792 C: G(9792)=2,P1(9792)=6,P2(9792)=14,Z(9792)=0
Ptn-9793 C: G(9793)=2,P1(9793)=6,P2(9793)=14,Z(9793)=0
Ptn-9794 C: G(9794)=2,P1(9794)=6,P2(9794)=14,Z(9794)=0
Ptn-9795 C: G(9795)=2,P1(9795)=6,P2(9795)=14,Z(9795)=0
Ptn-9796 C: G(9796)=2,P1(9796)=6,P2(9796)=14,Z(9796)=0
Ptn-9797 C: G(9797)=2,P1(9797)=6,P2(9797)=14,Z(9797)=0
Ptn-9798 C: G(9798)=2,P1(9798)=6,P2(9798)=14,Z(9798)=0
Ptn-9799 C: G(9799)=2,P1(9799)=6,P2(9799)=14,Z(9799)=0
Ptn-9800 C: G(9800)=2,P1(9800)=6,P2(9800)=14,Z(9800)=0
Ptn-9801 C: G(9801)=2,P1(9801)=6,P2(9801)=14,Z(9801)=0
Ptn-9802 C: G(9802)=2,P1(9802)=6,P2(9802)=14,Z(9802)=0
Ptn-9803 C: G(9803)=2,P1(9803)=6,P2(9803)=14,Z(9803)=0
Ptn-9804 C: G(9804)=2,P1(9804)=6,P2(9804)=14,Z(9804)=0
Ptn-9805 C: G(9805)=2,P1(9805)=6,P2(9805)=14,Z(9805)=0
Ptn-9806 C: G(9806)=2,P1(9806)=6,P2(9806)=14,Z(9806)=0
Ptn-9807 C: G(9807)=2,P1(9807)=6,P2(9807)=14,Z(9807)=0
Ptn-9808 C: G(9808)=2,P1(9808)=6,P2(9808)=14,Z(9808)=0
Ptn-9809 C: G(9809)=2,P1(9809)=6,P2(9809)=14,Z(9809)=0
Ptn-9810 C: G(9810)=2,P1(9810)=6,P2(9810)=14,Z(9810)=0
Ptn-9811 C: G(9811)=2,P1(9811)=6,P2(9811)=14,Z(9811)=0
Ptn-9812 C: G(9812)=2,P1(9812)=6,P2(9812)=14,Z(9812)=0
Ptn-9813 C: G(9813)=2,P1(9813)=6,P2(9813)=14,Z(9813)=0
Ptn-9814 C: G(9814)=2,P1(9814)=6,P2(9814)=14,Z(9814)=0
Ptn-9815 C: G(9815)=2,P1(9815)=6,P2(9815)=14,Z(9815)=0
Ptn-9816 C: G(9816)=2,P1(9816)=6,P2(9816)=14,Z(9816)=0
Ptn-9817 C: G(9817)=2,P1(9817)=6,P2(9817)=14,Z(9817)=0
Ptn-9818 C: G(9818)=2,P1(9818)=6,P2(9818)=14,Z(9818)=0
Ptn-9819 C: G(9819)=2,P1(9819)=6,P2(9819)=14,Z(9819)=0
Ptn-9820 C: G(9820)=2,P1(9820)=6,P2(9820)=14,Z(9820)=0
Ptn-9821 C: G(9821)=2,P1(9821)=6,P2(9821)=14,Z(9821)=0
Ptn-9822 C: G(9822)=2,P1(9822)=6,P2(9822)=14,Z(9822)=0
Ptn-9823 C: G(9823)=2,P1(9823)=6,P2(9823)=14,Z(9823)=0
Ptn-9824 C: G(9824)=2,P1(9824)=6,P2(9824)=14,Z(9824)=0
Ptn-9825 C: G(9825)=2,P1(9825)=6,P2(9825)=14,Z(9825)=0
Ptn-9826 C: G(9826)=2,P1(9826)=6,P2(9826)=14,Z(9826)=0
Ptn-9827 C: G(9827)=2,P1(9827)=6,P2(9827)=14,Z(9827)=0
Ptn-9828 C: G(9828)=2,P1(9828)=6,P2(9828)=14,Z(9828)=0
Ptn-9829 C: G(9829)=2,P1(9829)=6,P2(9829)=14,Z(9829)=0
Ptn-9830 C: G(9830)=2,P1(9830)=6,P2(9830)=14,Z(9830)=0
Ptn-9831 C: G(9831)=2,P1(9831)=6,P2(9831)=14,Z(9831)=0
Ptn-9832 C: G(9832)=2,P1(9832)=6,P2(9832)=14,Z(9832)=0
Ptn-9833 C: G(9833)=2,P1(9833)=6,P2(9833)=14,Z(9833)=0
Ptn-9834 C: G(9834)=2,P1(9834)=6,P2(9834)=14,Z(9834)=0
